Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Androedae,00 08 23.17,+29 05 27.0,2.07,Androeda
Beta Androedae,01 09 43.80,+35 37 15.0,2.07,Androeda
Gaa Androedae,02 03 53.92,+42 19 47.5,2.1,Androeda
Delta Androedae,00 39 19.60,+30 51 40.4,3.27,Androeda
Androeda Galaxy,00 42 44.31,+41 16 09.4,3.44,Androeda
51 Androedae,01 37 59.50,+48 37 42.6,3.59,Androeda
Oicron Androedae,23 01 55.25,+42 19 33.5,3.62,Androeda
Labda Androedae,23 37 33.71,+46 27 33.0,3.81,Androeda
u Androedae,00 56 45.10,+38 29 57.3,3.86,Androeda
Zeta Androedae,00 47 20.39,+24 16 02.6,4.08,Androeda
Upilon Androedae,01 36 47.98,+41 24 23.0,4.1,Androeda
Kappa Androedae,23 40 24.44,+44 20 02.3,4.15,Androeda
Phi Androedae,01 09 30.12,+47 14 30.6,4.26,Androeda
Iota Androedae,23 38 08.18,+43 16 05.1,4.29,Androeda
Pi Androedae,00 36 52.84,+33 43 09.7,4.34,Androeda
Epilon Androedae,00 38 33.50,+29 18 44.5,4.34,Androeda
Eta Androedae,00 57 12.43,+23 25 03.9,4.4,Androeda
iga Androedae,00 18 19.71,+36 47 07.2,4.51,Androeda
Nu Androedae,00 49 48.83,+41 04 44.2,4.53,Androeda
7 Androedae,23 12 32.92,+49 24 21.5,4.53,Androeda
Theta Androedae,00 17 05.54,+38 40 54.0,4.61,Androeda
3 Androedae,23 04 10.83,+50 03 06.1,4.64,Androeda
65 Androedae,02 25 37.40,+50 16 43.2,4.73,Androeda
58 Androedae,02 08 29.15,+37 51 33.1,4.78,Androeda
8 Androedae,23 17 44.62,+49 00 55.0,4.82,Androeda
Oega Androedae,01 27 39.09,+45 24 25.0,4.83,Androeda
Gaa Androedae,02 03 54.70,+42 19 51.0,4.84,Androeda
60 Androedae,02 13 13.34,+44 13 54.1,4.84,Androeda
Xi Androedae,01 22 20.39,+45 31 43.5,4.87,Androeda
Tau Androedae,01 40 34.80,+40 34 37.6,4.96,Androeda
HD 10307,01 41 46.52,+42 36 49.7,4.96,Androeda
Pi Androedae,23 46 02.04,+46 25 13.0,4.97,Androeda
22 Androedae,00 10 19.24,+46 04 20.2,5.01,Androeda
Chi Androedae,01 39 21.02,+44 23 10.1,5.01,Androeda
41 Androedae,01 08 00.72,+43 56 32.1,5.04,Androeda
2 Androedae,23 02 36.34,+42 45 28.1,5.09,Androeda
V428 Androedae,00 36 46.47,+44 29 18.6,5.14,Androeda
Rho Androedae,00 21 07.23,+37 58 07.3,5.16,Androeda
64 Androedae,02 24 24.89,+50 00 23.9,5.19,Androeda
28 Androedae,00 30 07.34,+29 45 06.1,5.2,Androeda
14 Androedae,23 31 17.20,+39 14 11.0,5.22,Androeda
49 Androedae,01 30 06.10,+47 00 26.6,5.27,Androeda
32 Androedae,00 41 07.20,+39 27 31.2,5.3,Androeda
4 Androedae,23 07 39.28,+46 23 14.3,5.3,Androeda
6 Perei,02 13 36.02,+51 03 58.4,5.31,Androeda
62 Androedae,02 19 16.85,+47 22 48.0,5.31,Androeda
18 Androedae,23 39 08.35,+50 28 18.3,5.35,Androeda
55 Androedae,01 53 17.35,+40 43 47.3,5.42,Androeda
11 Androedae,23 19 29.79,+48 37 30.7,5.44,Androeda
36 Androedae,00 54 58.02,+23 37 42.4,5.46,Androeda
15 Androedae,23 34 37.55,+40 14 11.6,5.55,Androeda
63 Androedae,02 20 58.17,+50 09 05.5,5.57,Androeda
47 Androedae,01 23 40.56,+37 42 54.0,5.6,Androeda
44 Androedae,01 10 18.85,+42 04 53.7,5.67,Androeda
5 Androedae,23 07 45.25,+49 17 43.6,5.68,Androeda
HD 5788,01 00 03.55,+44 42 47.9,5.69,Androeda
56 Androedae,01 56 09.23,+37 15 06.5,5.69,Androeda
23 Androedae,00 13 30.94,+41 02 08.6,5.71,Androeda
13 Androedae,23 27 07.33,+42 54 43.1,5.75,Androeda
12 Androedae,23 20 53.17,+38 10 56.9,5.77,Androeda
45 Androedae,01 11 10.29,+37 43 26.9,5.8,Androeda
10 Androedae,23 19 52.38,+42 04 40.9,5.81,Androeda
HD 222109,23 37 32.03,+44 25 44.5,5.81,Androeda
HD 224635,23 59 29.33,+33 43 26.9,5.81,Androeda
OU Androedae,23 49 40.96,+36 25 31.4,5.86,Androeda
HD 2767,00 31 25.61,+33 34 54.1,5.88,Androeda
HD 1606,00 20 24.39,+30 56 08.2,5.89,Androeda
KK Androedae,01 34 16.60,+37 14 13.9,5.9,Androeda
6 Androedae,23 10 27.36,+43 32 41.1,5.91,Androeda
39 Androedae,01 02 54.28,+41 20 42.7,5.95,Androeda
9 Androedae,23 18 23.33,+41 46 25.3,5.98,Androeda
HD 5608,00 58 14.19,+33 57 03.8,5.99,Androeda
HD 3883,00 41 35.98,+24 37 44.6,6.06,Androeda
HD 166,00 06 36.53,+29 01 19.0,6.07,Androeda
HD 223229,23 47 33.05,+46 49 57.3,6.08,Androeda
59 Androedae,02 10 52.83,+39 02 22.5,6.09,Androeda
26 Androedae,00 18 42.15,+43 47 28.1,6.1,Androeda
HD 225218,00 04 36.60,+42 05 33.2,6.11,Androeda
HD 1185,00 16 21.50,+43 35 42.4,6.12,Androeda
GO Androedae,00 50 18.21,+45 00 08.1,6.13,Androeda
66 Androedae,02 27 51.75,+50 34 12.7,6.16,Androeda
HD 221776,23 34 46.73,+38 01 26.3,6.18,Androeda
HD 221246,23 30 07.39,+49 07 59.3,6.19,Androeda
OP Androedae,01 36 27.21,+48 43 22.2,6.2,Androeda
HD 895,00 13 23.93,+26 59 15.4,6.24,Androeda
HD 220105,23 20 44.11,+44 06 58.5,6.25,Androeda
HD 2942,00 32 49.09,+28 16 48.8,6.26,Androeda
HD 8673,01 26 08.62,+34 34 47.7,6.34,Androeda
CG Androedae,00 00 43.62,+45 15 12.0,6.36,Androeda
LN Androedae,23 02 45.15,+44 03 31.6,6.37,Androeda
V385 Androedae,23 24 08.88,+41 36 46.3,6.37,Androeda
GY Androedae,01 38 31.84,+45 23 58.9,6.38,Androeda
V529 Androedae,01 27 26.67,+41 06 04.0,6.42,Androeda
HD 222641,23 42 14.68,+44 59 30.3,6.43,Androeda
HD 6114,01 03 01.47,+47 22 34.3,6.46,Androeda
ET Androedae,23 17 55.99,+45 29 20.2,6.48,Androeda
HD 222399,23 40 02.82,+37 39 10.2,6.49,Androeda
PY Androedae,00 36 20.00,+27 15 17,6.5,Androeda
59 Androedae,02 10 53.67,+39 02 36.0,6.82,Androeda
HD 222155,23 38 00,+48 59 47,7.1,Androeda
HD 16175,02 37 01.91,+42 03 45.5,7.28,Androeda
R Androedae,00 24 01.95,+38 34 37.3,7.39,Androeda
HD 1605,00 20 32.0,+30 58 29,7.52,Androeda
HD 13931,02 16 47.38,+43 46 22.8,7.52,Androeda
HD 5583,00 57 57.0,+34 59 08,7.6,Androeda
RW Androedae,00 47 18.92,+32 41 08.6,7.9,Androeda
Groobridge 34,00 18 22.9,+44 01 22,8.01,Androeda
HD 15082,02 26 51.06,+37 33 01.7,8.3,Androeda
Z Androedae,23 33 39.95,+48 49 05.9,10.53,Androeda
HAT-P-6,23 39 05.81,+42 27 57.5,10.54,Androeda
HAT-P-16,00 38 17.56,+42 27 47.2,10.8,Androeda
HAT-P-32,02 01 10,+46 41 16,11.29,Androeda
WAP-1,00 20 40.08,+31 59 23.8,11.79,Androeda
Kepler-63,01 17 07.6,+49 32 54,12.02,Androeda
Ro 248,23 41 54.99,+44 10 40.8,12.29,Androeda
HAT-P-19,00 38 04,+34 42 42,12.9,Androeda
HAT-P-28,00 52 00,+34 43 42,13.03,Androeda
HAT-P-53,01 27 29.0,+38 58 05,13.73,Androeda
Alpha Antliae,10 27 09.16,-31 04 04.1,4.28,Antlia
Epilon Antliae,09 29 14.74,-35 57 04.9,4.51,Antlia
Iota Antliae,10 56 43.00,-37 08 14.9,4.6,Antlia
Theta Antliae,09 44 12.13,-27 46 10.4,4.78,Antlia
Eta Antliae,09 58 52.34,-35 53 27.4,5.23,Antlia
HD 90132,10 23 29.41,-38 00 35.0,5.34,Antlia
HD 96146,11 04 54.21,-35 48 16.9,5.43,Antlia
HD 82205,09 29 54.52,-26 35 22.6,5.49,Antlia
U Antliae,10 35 12.88,-39 33 45.3,5.5,Antlia
HR 4049,10 18 07.60,-28 59 31.3,5.52,Antlia
Delta Antliae,10 29 35.40,-30 36 25.5,5.56,Antlia
HD 93905,10 49 57.05,-34 03 29.5,5.61,Antlia
HR 3833,09 37 09.87,-32 10 43.0,5.62,Antlia
HD 92845,10 42 43.21,-32 42 56.4,5.63,Antlia
HR 3830,09 37 00.25,-25 17 48.7,5.68,Antlia
Zeta1 Antliae,09 30 46.08,-31 53 21.0,5.75,Antlia
HD 86267,09 56 35.47,-33 25 06.8,5.83,Antlia
HD 82514,09 31 32.93,-35 42 51.6,5.86,Antlia
Zeta2 Antliae,09 31 32.19,-31 52 18.6,5.91,Antlia
HD 88809,10 13 45.98,-40 20 45.9,5.91,Antlia
HD 85206,09 49 28.15,-37 11 12.4,5.95,Antlia
HD 83441,09 37 28.42,-36 05 45.6,5.96,Antlia
HD 88218,10 09 32.09,-35 51 24.5,6.14,Antlia
HD 82165,09 29 16.25,-38 24 12.8,6.15,Antlia
HD 89015,10 15 20.89,-36 31 03.8,6.17,Antlia
Zeta1 Antliae,09 30 46.10,-31 53 22.0,6.18,Antlia
HD 90071,10 23 13.14,-30 09 44.0,6.25,Antlia
HD 87606,10 05 15.28,-36 23 03.7,6.27,Antlia
HD 85725,09 52 58.21,-27 19 56.7,6.28,Antlia
HD 88522,10 12 02.88,-28 36 21.4,6.28,Antlia
HD 89442,10 18 37.88,-36 48 16.5,6.31,Antlia
BF Antliae,09 56 54.14,-27 28 30.8,6.32,Antlia
HD 88836,10 13 56.58,-40 18 38.7,6.33,Antlia
HD 88013,10 08 01.67,-37 20 00.5,6.34,Antlia
HD 85296,09 49 51.36,-36 16 06.5,6.36,Antlia
HD 92589,10 40 51.56,-35 44 30.2,6.36,Antlia
HD 88742,10 13 24.99,-33 01 54.8,6.38,Antlia
HD 84224,09 42 41.37,-35 30 06.2,6.39,Antlia
HD 87477,10 04 23.39,-39 58 33.1,6.42,Antlia
 Antliae,09 32 18.45,-28 37 40.4,6.43,Antlia
HD 82785,09 33 07.71,-39 07 45.0,6.43,Antlia
HD 84567,09 45 22.01,-30 12 09.9,6.45,Antlia
HD 83108,09 35 11.88,-35 49 25.5,6.48,Antlia
HD 93083,10 44 20.91,-33 34 37.2,8.33,Antlia
T Antliae,09 33 50.86,-36 36 56.7,9.26,Antlia
Delta Antliae,10 29 34.77,-30 36 33.1,9.65,Antlia
TWA 6,10 18 28.70,-31 50 02.9,10.65,Antlia
WAP-66,10 32 54.0,-34 59 23,11.6,Antlia
TWA 7,10 42 30.06,-33 40 16.6,11.73,Antlia
UX Antliae,10 57 09.0,-37 23 56,12.37,Antlia
DEN 1048-3956,10 48 15,-39 56 06,17.53,Antlia
XTE J0929-314,09 29 20.19,-31 29 03.2,18.63,Antlia
Alpha Apodi,14 47 51.73,-79 02 41.0,3.83,Apu
Gaa Apodi,16 33 27.46,-78 53 49.1,3.86,Apu
Beta Apodi,16 43 05.42,-77 30 59.7,4.23,Apu
Delta1 Apodi,16 20 20.84,-78 41 44.4,4.68,Apu
Zeta Apodi,17 21 59.53,-67 46 14.3,4.76,Apu
Eta Apodi,14 18 13.97,-81 00 27.4,4.89,Apu
Epilon Apodi,14 22 23.20,-80 06 32.1,5.06,Apu
Delta2 Apodi,16 20 26.86,-78 40 02.7,5.27,Apu
R Apodi,14 57 53.16,-76 39 45.4,5.37,Apu
Iota Apodi,17 22 05.88,-70 07 23.4,5.39,Apu
Kappa¹ Apodi,15 31 30.82,-73 23 22.4,5.52,Apu
HR 6135,16 34 19.37,-70 59 17.0,5.5,Apu
HD 130458,14 53 13.54,-73 11 24.6,5.59,Apu
Kappa² Apodi,15 40 21.36,-73 26 47.9,5.64,Apu
Theta Apodi,14 05 20.10,-76 47 48.0,5.69,Apu
HR 5955,16 05 55.88,-72 24 03.9,5.7,Apu
NO Apodi,17 31 27.47,-80 51 32.5,5.83,Apu
HD 164712,18 11 15.76,-75 53 26.9,5.86,Apu
HD 165259,18 12 34.17,-73 40 18.4,5.86,Apu
HD 131425,15 00 11.34,-77 09 37.9,5.92,Apu
HD 138867,15 41 54.70,-76 04 54.7,5.95,Apu
HD 122862,14 08 27.71,-74 51 02.6,6.02,Apu
HD 133981,15 12 34.01,-72 46 14.0,6.02,Apu
HD 126209,14 29 37.07,-76 43 44.5,6.06,Apu
HD 161988,17 57 41.68,-76 10 40.6,6.08,Apu
HD 121439,14 00 32.85,-78 35 23.9,6.09,Apu
HD 138289,15 39 18.62,-77 55 03.7,6.19,Apu
HD 131551,14 59 55.77,-75 01 57.4,6.2,Apu
HD 154556,17 12 19.85,-70 43 15.2,6.21,Apu
HD 154972,17 16 35.70,-74 31 58.4,6.24,Apu
HD 128294,14 41 59.76,-77 00 41.1,6.34,Apu
HD 162337,18 05 26.74,-81 29 11.2,6.37,Apu
HD 137366,15 30 49.19,-71 39 14.7,6.39,Apu
HD 141846,15 59 55.14,-78 01 37.6,6.4,Apu
HD 124639,14 24 22.18,-82 50 53.6,6.42,Apu
HD 129899,14 51 30.07,-77 10 33.4,6.44,Apu
HD 152010,16 57 01.06,-71 06 41.6,6.46,Apu
HD 124099,14 16 55.17,-77 39 51.2,6.48,Apu
HD 159558,17 40 44.57,-67 51 14.8,6.48,Apu
HD 134606,15 15 15,-70 31 11,6.85,Apu
HD 137509,15 31 27.12,-71 03 43.7,6.87,Apu
HD 131664,15 00 06.07,-73 32 07.2,8.13,Apu
HD 137388,15 35 40,-80 12 17,8.71,Apu
 Apodi,15 09 24.53,-72 03 45.2,9.6,Apu
HD 138403,15 37 11.18,-71 54 52.9,10.47,Apu
Z Apodi,14 06 54.81,-71 22 16.8,11.07,Apu
Beta Aquarii,21 31 33.52,-05 34 16.2,2.9,Aquariu
Alpha Aquarii,22 05 47.03,-00 19 11.4,2.95,Aquariu
Delta Aquarii,22 54 39.04,-15 49 14.7,3.27,Aquariu
Zeta Aquarii,22 28 49.80,-00 01 12.2,3.65,Aquariu
88 Aquarii,23 09 26.76,-21 10 20.9,3.68,Aquariu
Labda Aquarii,22 52 36.86,-07 34 46.8,3.73,Aquariu
Epilon Aquarii,20 47 40.53,-09 29 44.5,3.78,Aquariu
Gaa Aquarii,22 21 39.30,-01 23 14.5,3.86,Aquariu
98 Aquarii,23 22 58.30,-20 06 01.2,3.96,Aquariu
Eta Aquarii,22 35 21.33,-00 07 02.5,4.04,Aquariu
Tau2 Aquarii,22 49 35.51,-13 35 33.1,4.05,Aquariu
Theta Aquarii,22 16 49.97,-07 46 59.7,4.17,Aquariu
Phi Aquarii,23 14 19.33,-06 02 54.7,4.22,Aquariu
Pi1 Aquarii,23 15 53.28,-09 05 15.7,4.24,Aquariu
Iota Aquarii,22 06 26.21,-13 52 10.3,4.29,Aquariu
99 Aquarii,23 26 02.82,-20 38 30.7,4.38,Aquariu
Pi2 Aquarii,23 17 54.20,-09 10 57.0,4.41,Aquariu
Zeta Aquarii,22 28 50.10,-00 01 12.0,4.42,Aquariu
3 Aquarii,20 47 44.24,-05 01 39.4,4.43,Aquariu
86 Aquarii,23 06 40.81,-23 44 35.2,4.48,Aquariu
Oega2 Aquarii,23 42 43.28,-14 32 41.1,4.49,Aquariu
Nu Aquarii,21 09 35.59,-11 22 18.0,4.5,Aquariu
Xi Aquarii,21 37 45.04,-07 51 14.9,4.68,Aquariu
66 Aquarii,22 43 35.25,-18 49 49.1,4.68,Aquariu
101 Aquarii,23 33 16.63,-20 54 52.3,4.7,Aquariu
89 Aquarii,23 09 54.88,-22 27 27.3,4.71,Aquariu
u Aquarii,20 52 39.21,-08 58 59.7,4.73,Aquariu
Oicron Aquarii,22 03 18.83,-02 09 19.2,4.74,Aquariu
Pi Aquarii,22 25 16.61,+01 22 38.6,4.8,Aquariu
iga Aquarii,22 30 38.82,-10 40 40.4,4.82,Aquariu
104 Aquarii,23 41 45.80,-17 48 59.5,4.82,Aquariu
Chi Aquarii,23 16 50.95,-07 43 35.3,4.93,Aquariu
Oega1 Aquarii,23 39 47.04,-14 13 19.4,4.97,Aquariu
Pi³ Aquarii,23 18 57.65,-09 36 38.6,4.99,Aquariu
Kappa Aquarii,22 37 45.42,-04 13 39.9,5.04,Aquariu
25 Aquarii,21 39 33.28,+02 14 37.5,5.1,Aquariu
47 Aquarii,22 21 35.58,-21 35 52.9,5.12,Aquariu
1 Aquarii,20 39 24.83,+00 29 11.4,5.15,Aquariu
108 Aquarii,23 51 21.32,-18 54 33.0,5.17,Aquariu
94 Aquarii,23 19 06.37,-13 27 17.0,5.19,Aquariu
97 Aquarii,23 22 39.10,-15 02 21.8,5.19,Aquariu
94 Aquarii,23 19 06.51,-13 27 30.4,5.2,Aquariu
Upilon Aquarii,22 34 41.50,-20 42 28.3,5.21,Aquariu
68 Aquarii,22 47 33.19,-19 36 46.3,5.24,Aquariu
106 Aquarii,23 44 12.06,-18 16 36.9,5.24,Aquariu
107 Aquarii,23 46 00.84,-18 40 42.1,5.28,Aquariu
32 Aquarii,22 04 47.43,-00 54 22.5,5.29,Aquariu
41 Aquarii,22 14 18.02,-21 04 28.9,5.33,Aquariu
42 Aquarii,22 16 48.04,-12 49 53.2,5.34,Aquariu
Rho Aquarii,22 20 11.91,-07 49 16.0,5.35,Aquariu
103 Aquarii,23 41 34.51,-18 01 36.8,5.36,Aquariu
38 Aquarii,22 10 37.46,-11 33 53.9,5.43,Aquariu
83 Aquarii,23 05 09.71,-07 41 37.7,5.44,Aquariu
18 Aquarii,21 24 11.44,-12 52 41.3,5.48,Aquariu
21 Aquarii,21 25 16.96,-03 33 23.7,5.48,Aquariu
7 Aquarii,20 56 54.03,-09 41 51.1,5.49,Aquariu
12 Aquarii,21 04 04.58,-05 49 24.2,7.31,Aquariu
49 Aquarii,22 23 30.79,-24 45 45.6,5.53,Aquariu
77 Aquarii,22 54 45.60,-16 16 18.3,5.53,Aquariu
5 Aquarii,20 52 08.69,-05 30 25.4,5.55,Aquariu
30 Aquarii,22 03 16.43,-06 31 20.7,5.55,Aquariu
53 Aquarii,22 26 34.15,-16 44 31.7,5.55,Aquariu
96 Aquarii,23 19 23.86,-05 07 27.5,5.56,Aquariu
28 Aquarii,22 01 05.01,+00 36 17.1,5.6,Aquariu
26 Aquarii,21 42 10.12,+01 17 07.0,5.66,Aquariu
HD 222093,23 37 39.54,-13 03 37.1,5.66,Aquariu
Tau1 Aquarii,22 47 42.75,-14 03 23.1,5.68,Aquariu
19 Aquarii,21 25 13.02,-09 44 53.3,5.71,Aquariu
HD 216718,22 55 10.94,-04 59 16.4,5.72,Aquariu
44 Aquarii,22 17 06.50,-05 23 14.0,5.75,Aquariu
50 Aquarii,22 24 27.03,-13 31 45.9,5.76,Aquariu
HD 223807,23 52 50.49,-08 59 48.1,5.76,Aquariu
51 Aquarii,22 24 06.87,-04 50 13.2,5.79,Aquariu
35 Aquarii,22 08 58.99,-18 31 10.5,5.8,Aquariu
HD 211392,22 16 52.60,-09 02 24.1,5.8,Aquariu
74 Aquarii,22 53 28.69,-11 36 59.5,5.8,Aquariu
15 Aquarii,21 18 11.07,-04 31 10.2,5.83,Aquariu
16 Aquarii,21 21 04.33,-04 33 36.5,5.87,Aquariu
60 Aquarii,22 34 02.89,-01 34 27.0,5.88,Aquariu
12 Aquarii,21 04 04.74,-05 49 23.08,5.89,Aquariu
DV Aquarii,20 58 41.87,-14 28 59.1,5.95,Aquariu
45 Aquarii,22 19 00.70,-13 18 17.9,5.96,Aquariu
HD 210434,22 10 33.70,-04 16 00.7,5.98,Aquariu
4 Aquarii,20 51 25.69,-05 37 35.9,5.99,Aquariu
17 Aquarii,21 22 56.27,-09 19 09.4,5.99,Aquariu
39 Aquarii,22 12 25.74,-14 11 37.8,6.04,Aquariu
HD 199442,20 57 10.57,+00 27 50.2,6.06,Aquariu
HD 223311,23 48 32.48,-06 22 49.4,6.09,Aquariu
HD 219279,23 14 40.18,-10 41 19.1,6.13,Aquariu
HD 213429,22 31 18.22,-06 33 17.6,6.15,Aquariu
HD 218061,23 05 12.88,-17 04 44.9,6.15,Aquariu
HD 220035,23 20 40.95,-05 54 28.2,6.17,Aquariu
82 Aquarii,23 02 32.56,-06 34 26.1,6.18,Aquariu
70 Aquarii,22 48 30.19,-10 33 19.8,6.19,Aquariu
78 Aquarii,22 54 34.13,-07 12 16.3,6.2,Aquariu
11 Aquarii,21 00 33.81,-04 43 47.7,6.21,Aquariu
HD 205765,21 37 33.77,-00 23 25.8,6.22,Aquariu
HD 214448,22 38 22.10,-07 53 51.2,6.23,Aquariu
81 Aquarii,23 01 23.65,-07 03 40.1,6.23,Aquariu
HD 198272,20 49 17.25,-00 33 47.8,6.24,Aquariu
HD 200375,21 03 03.09,+01 31 55.9,6.24,Aquariu
HD 208177,21 54 35.90,-03 18 04.3,6.24,Aquariu
100 Aquarii,23 31 42.04,-21 22 10.0,6.24,Aquariu
HD 221148,23 29 31.98,-04 31 55.9,6.26,Aquariu
LP Aquarii,22 42 05.99,-05 06 06.6,6.28,Aquariu
HD 214810,22 40 47.96,-03 33 14.9,6.32,Aquariu
HD 219659,23 17 40.06,-11 42 46.6,6.33,Aquariu
53 Aquarii,22 26 34.40,-16 44 33.0,6.35,Aquariu
56 Aquarii,22 30 17.33,-14 35 08.3,6.36,Aquariu
R Aquarii,23 43 49.50,-15 17 04.0,6.36,Aquariu
HD 202259,21 14 37.03,+00 05 32.2,6.38,Aquariu
20 Aquarii,21 24 51.68,-03 23 53.6,6.38,Aquariu
29 Aquarii,22 02 26.25,-16 57 53.4,6.39,Aquariu
HD 211575,22 18 04.30,-00 14 15.1,6.39,Aquariu
58 Aquarii,22 31 41.28,-10 54 19.7,6.39,Aquariu
61 Aquarii,22 35 48.82,-17 27 37.1,6.39,Aquariu
67 Aquarii,22 43 14.25,-06 57 46.5,6.4,Aquariu
IZ Aquarii,21 34 42.76,+01 49 45.1,6.41,Aquariu
14 Aquarii,21 16 17.78,-09 12 52.8,6.45,Aquariu
HD 215114,22 43 03.40,-08 18 41.2,6.45,Aquariu
EW Aquarii,21 11 41.31,-14 28 20.6,6.47,Aquariu
HD 210277,22 09 29.87,-07 32 55.2,6.63,Aquariu
37 Aquarii,22 10 31.74,-10 49 13.7,6.64,Aquariu
24 Aquarii,21 39 31.39,-00 03 04.1,6.66,Aquariu
HD 212771,22 27 03.07,-17 15 49.2,7.6,Aquariu
HD 222582,23 41 51.53,-05 59 08.7,7.7,Aquariu
HD 220689,23 25 53,-20 36 58,7.77,Aquariu
HD 215152,22 43 21,-06 24 03,8.13,Aquariu
HD 206610,21 43 24.90,-07 24 29.7,8.34,Aquariu
104 Aquarii,23 41 46.39,-17 47 00.5,8.52,Aquariu
WAP-69,21 00 06.0,-05 05 40,9.87,Aquariu
Gliee 876,22 53 16.73,-14 15 49.3,10.17,Aquariu
Gliee 849,22 09 40.35,-04 38 26.6,10.42,Aquariu
WAP-70,21 01 54.0,-13 26 00,10.79,Aquariu
WAP-75,22 49 33.0,-10 40 32,11.45,Aquariu
AE Aquarii,20 40 09.16,-00 52 15.0,11.6,Aquariu
WAP-47,22 04 49.0,-12 01 08,11.9,Aquariu
EZ Aquarii,22 38 33.62,-15 17 59.2,12.18,Aquariu
WAP-6,23 12 38.0,-22 40 26,12.4,Aquariu
Foalhaut,22 48 04.47,-24 22 07.5,12.62,Aquariu
Altair,19 50 46.68,+08 52 02.6,0.76,Aquila
Gaa Aquilae,19 46 15.57,+10 36 47.8,2.72,Aquila
Zeta Aquilae,19 05 24.61,+13 51 49.4,2.99,Aquila
Theta Aquilae,20 11 18.26,-00 49 17.3,3.24,Aquila
Delta Aquilae,19 25 29.75,+03 06 52.5,3.36,Aquila
Labda Aquilae,19 06 14.95,-04 52 56.4,3.43,Aquila
Beta Aquilae,19 55 18.77,+06 24 28.6,3.71,Aquila
Eta Aquilae,19 52 28.36,+01 00 20.4,3.87,Aquila
Epilon Aquilae,18 59 37.39,+15 04 06.5,4.02,Aquila
12 Aquilae,19 01 40.84,-05 44 20.5,4.02,Aquila
71 Aquilae,20 38 20.27,-01 06 18.3,4.31,Aquila
Iota Aquilae,19 36 43.28,-01 17 11.6,4.36,Aquila
u Aquilae,19 34 05.23,+07 22 45.5,4.45,Aquila
Nu Aquilae,19 26 31.09,+00 20 18.9,4.64,Aquila
Xi Aquilae,19 54 14.882,+08 27 41.23,4.722,Aquila
69 Aquilae,20 29 38.96,-02 53 07.7,4.91,Aquila
70 Aquilae,20 36 43.63,-02 32 59.7,4.91,Aquila
Kappa Aquilae,19 36 53.45,-07 01 38.9,4.93,Aquila
26 Aquilae,19 20 32.84,-05 24 57.1,4.98,Aquila
4 Aquilae,18 44 49.93,+02 03 36.3,5.02,Aquila
36 Aquilae,19 30 39.82,-02 47 19.9,5.03,Aquila
18 Aquilae,19 06 58.60,+11 04 16.7,5.07,Aquila
23 Aquilae,19 18 32.49,+01 05 06.3,5.1,Aquila
37 Aquilae,19 35 07.25,-10 33 37.6,5.12,Aquila
Oicron Aquilae,19 51 01.50,+10 24 57.8,5.12,Aquila
21 Aquilae,19 13 42.70,+02 17 37.4,5.14,Aquila
31 Aquilae,19 24 57.77,+11 56 34.3,5.17,Aquila
iga Aquilae,19 39 11.64,+05 23 52.0,5.18,Aquila
19 Aquilae,19 08 59.92,+06 04 24.2,5.23,Aquila
11 Aquilae,18 59 05.73,+13 37 21.2,5.27,Aquila
Oega¹ Aquilae,19 17 49.00,+11 35 43.4,5.28,Aquila
Chi Aquilae,19 42 34.01,+11 49 35.8,5.28,Aquila
Phi Aquilae,19 56 14.23,+11 25 25.4,5.28,Aquila
FF Aquilae,18 58 14.75,+17 21 39.4,5.33,Aquila
20 Aquilae,19 12 40.70,-07 56 22.2,5.35,Aquila
51 Aquilae,19 50 46.80,-10 45 48.9,5.38,Aquila
14 Aquilae,19 02 54.49,-03 41 56.4,5.4,Aquila
15 Aquilae,19 04 57.66,-04 01 52.9,5.4,Aquila
66 Aquilae,20 13 13.87,-01 00 33.4,5.44,Aquila
42 Aquilae,19 37 47.26,-04 38 51.0,5.45,Aquila
27 Aquilae,19 20 35.68,-00 53 31.8,5.46,Aquila
Tau Aquilae,20 04 08.31,+07 16 40.6,5.51,Aquila
28 Aquilae,19 19 39.35,+12 22 28.7,5.53,Aquila
62 erpenti,18 55 27.44,+06 36 55.8,5.58,Aquila
HD 180262,19 15 20.09,+15 05 01.2,5.58,Aquila
22 Aquilae,19 16 31.02,+04 50 05.4,5.59,Aquila
58 Aquilae,19 54 44.77,+00 16 25.2,5.6,Aquila
V1291 Aquilae,19 53 18.72,-03 06 52.2,5.63,Aquila
45 Aquilae,19 40 43.31,-00 37 16.7,5.64,Aquila
HD 180555,19 16 26.78,+14 32 40.6,5.65,Aquila
62 Aquilae,20 04 23.15,-00 42 32.5,5.67,Aquila
Pi Aquilae,19 48 42.10,+11 48 55.0,5.7,Aquila
57 Aquilae,19 54 37.65,-08 13 38.0,5.7,Aquila
14 agittae,20 03 30.01,+16 01 52.6,5.73,Aquila
Pi Aquilae,19 48 42.05,+11 48 57.3,5.75,Aquila
56 Aquilae,19 54 08.27,-08 34 27.0,5.76,Aquila
35 Aquilae,19 29 00.99,+01 57 01.9,5.79,Aquila
5 Aquilae,18 46 28.58,-00 57 41.9,5.89,Aquila
Upilon Aquilae,19 45 39.92,+07 36 47.4,5.89,Aquila
10 Aquilae,18 58 46.92,+13 54 24.4,5.91,Aquila
